sciName,espName,filename,source,source_url,license,license_url,attribution,ok
Branta bernicla,Barnacla carinegra,branta_bernicla.jpeg,iNaturalist,https://www.inaturalist.org/taxa/7087,,,"(c) Dimitris S, all rights reserved, uploaded by Dimitris S",True
Branta leucopsis,Barnacla cariblanca,branta_leucopsis.jpg,iNaturalist,https://www.inaturalist.org/taxa/7101,cc-by-nc,,"(c) Paul Cools, some rights reserved (CC BY-NC), uploaded by Paul Cools",True
Anser caerulescens,Ánsar nival,anser_caerulescens.jpg,iNaturalist,https://www.inaturalist.org/taxa/558426,cc-by-nc,,"(c) Miguel A Mejias, PhD., some rights reserved (CC BY-NC), uploaded by Miguel A Mejias, PhD.",True
Branta ruficollis,Barnacla cuellirroja,branta_ruficollis.jpg,iNaturalist,https://www.inaturalist.org/taxa/7102,cc-by,,"(c) Christoph Moning, some rights reserved (CC BY), uploaded by Christoph Moning",True
Anser brachyrhynchus,Ánsar piquicorto,anser_brachyrhynchus.jpg,iNaturalist,https://www.inaturalist.org/taxa/7007,cc-by-nc,,"(c) Martin Grimm, some rights reserved (CC BY-NC), uploaded by Martin Grimm",True
Anser fabalis,Ánsar campestre de la taiga,anser_fabalis.jpg,iNaturalist,https://www.inaturalist.org/taxa/7009,cc-by-nc,,"(c) jeffblincow, some rights reserved (CC BY-NC)",True
Anser anser,Ánsar común,anser_anser.jpg,iNaturalist,https://www.inaturalist.org/taxa/7018,cc-by-nc,,"(c) Frans Vandewalle, some rights reserved (CC BY-NC)",True
Anser serrirostris,Ánsar campestre de la tundra,anser_serrirostris.jpeg,iNaturalist,https://www.inaturalist.org/taxa/144423,cc-by,,"(c) Troy B, some rights reserved (CC BY), uploaded by Troy B",True
Cygnus olor,Cisne vulgar,cygnus_olor.jpg,iNaturalist,https://www.inaturalist.org/taxa/6921,,,"(c) Mark Sikking, all rights reserved, uploaded by Mark Sikking",True
Anser albifrons,Ánsar careto,anser_albifrons.jpg,iNaturalist,https://www.inaturalist.org/taxa/7019,cc-by-nc-nd,,"(c) Skip Russell, some rights reserved (CC BY-NC-ND)",True
Cygnus cygnus,Cisne cantor,cygnus_cygnus.jpg,iNaturalist,https://www.inaturalist.org/taxa/6921,,,"(c) Mark Sikking, all rights reserved, uploaded by Mark Sikking",True
Cygnus columbianus,Cisne chico,cygnus_columbianus.jpeg,iNaturalist,https://www.inaturalist.org/taxa/6917,cc0,,"no rights reserved, uploaded by Andy Wilson",True
Tadorna tadorna,Tarro blanco,tadorna_tadorna.jpg,iNaturalist,https://www.inaturalist.org/taxa/7067,cc-by-nc,,"(c) thegreatdodo, some rights reserved (CC BY-NC), uploaded by thegreatdodo",True
Tadorna ferruginea,Tarro canelo,tadorna_ferruginea.jpg,iNaturalist,https://www.inaturalist.org/taxa/7068,cc-by,,"(c) egorbirder, some rights reserved (CC BY)",True
Spatula querquedula,Cerceta carretona,spatula_querquedula.jpg,iNaturalist,https://www.inaturalist.org/taxa/558429,cc-by-nc,,"(c) Ксения Соварцева, some rights reserved (CC BY-NC), uploaded by Ксения Соварцева",True
Spatula discors,Cerceta aliazul,spatula_discors.jpeg,iNaturalist,https://www.inaturalist.org/taxa/558433,cc-by-nc,,"(c) Ed O'Connor, some rights reserved (CC BY-NC), uploaded by Ed O'Connor",True
Spatula clypeata,Cuchara común,spatula_clypeata.jpg,iNaturalist,https://www.inaturalist.org/taxa/558438,cc-by-nc,,"(c) silvertop41, some rights reserved (CC BY-NC)",True
Mareca strepera,Ánade friso,mareca_strepera.jpg,iNaturalist,https://www.inaturalist.org/taxa/558439,cc-by-nc,,"(c) Greg Lasley, some rights reserved (CC BY-NC), uploaded by Greg Lasley",True
Mareca penelope,Silbón europeo,mareca_penelope.jpeg,iNaturalist,https://www.inaturalist.org/taxa/558441,cc-by-nc,,"(c) zametnya, some rights reserved (CC BY-NC)",True
Mareca americana,Silbón americano,mareca_americana.jpg,iNaturalist,https://www.inaturalist.org/taxa/485176,,,"(c) mattbuckingham, all rights reserved, uploaded by mattbuckingham",True
Anas rubripes,Ánade sombrío,anas_rubripes.jpg,iNaturalist,https://www.inaturalist.org/taxa/6924,cc-by-nc-nd,,"(c) gbudyk, some rights reserved (CC BY-NC-ND), uploaded by gbudyk",True
Anas crecca,Cerceta común,anas_crecca.jpg,iNaturalist,https://www.inaturalist.org/taxa/6937,,,"(c) Juan Miguel Artigas Azas, all rights reserved, uploaded by Juan Miguel Artigas Azas",True
